time,t_data,ERK_data,NN_approx,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
61.875,0.0,0.0,0.02463282730284444,0.0013192661946666447,0.008169475291414818,0.010108036801365525,0.04904978161416611,0.03236311747163165,0.09406083994018459,0.6295657041566783,0.0013192765624898887,0.008169540209861612,0.0022939099611395584,0.03203263276845902,0.045719079281738816,0.1056995762125103,0.7148789862387148
62.0,0.0,0.0,0.023587852307861035,0.0012393358965986322,0.00767161539429505,0.009627757500643559,0.04737797620179552,0.030794349248391428,0.09394808317454424,0.6290268008031402,0.0012393456362666624,0.007671676389951667,0.0021578926963688625,0.03041438642293745,0.04015931788773998,0.1055752997816401,0.7143312185390004
62.125,0.0,0.0,0.02259017258293261,0.0011642483304806575,0.007204259322768628,0.009171187315384658,0.045744257150360436,0.029305977445602312,0.09383544017861055,0.6284879187630088,0.0011642574800497798,0.007204316720474502,0.0020300065917322778,0.028873099377283985,0.03524763600259658,0.10545114394258076,0.7137834136660142
62.25,0.0,0.0,0.021638433328099504,0.00109371009001411,0.006765519312373261,0.008737418602534162,0.04414943568147615,0.027894002000644534,0.09372291088718332,0.6279490626252135,0.0010937186852370646,0.006765573134749719,0.001909757923361014,0.02740553731056934,0.030945084328669766,0.1053271086450281,0.7132355871169455
62.375,0.0,0.0,0.020731175096117327,0.0010274455454899864,0.006353626206635985,0.008325545990443096,0.042594157996699356,0.026554542508623245,0.09361049523397062,0.6274102364951284,0.0010274536199548789,0.006353676637273731,0.001796683820438801,0.026008562549898237,0.027204415051714618,0.10520319383490175,0.7126877520331284
62.5,0.0,0.0,0.019866864384844085,0.0009651957667636371,0.005966922114485505,0.007934662540472386,0.041078916274601036,0.02528385106110335,0.09349819315175964,0.6268714440459483,0.0009652033520206076,0.0059669695422029665,0.001690350238931843,0.024679135096142106,0.023972854002697948,0.10507939945505768,0.7121399194382901
62.625,0.0,0.0,0.01904391955866952,0.0009067175114724454,0.0056038536120128785,0.007563852869111663,0.03960406112201595,0.02407832170580748,0.09338600457256013,0.6263326885648505,0.0009067246371595117,0.005603898245852971,0.0015903500790757647,0.023414313141525957,0.02119496349117099,0.10495572544589253,0.7115920984869286
62.75,0.0,0.0,0.018260734315996174,0.0008517822745605243,0.00526296465524071,0.007212210928351161,0.03816980661414589,0.022934499564588207,0.09327392942772471,0.6257939729944015,0.0008517889685224535,0.005263006493489959,0.001496301435330505,0.022211253132872085,0.018815276052013614,0.10483217174584897,0.7110442967132646
62.875,0.0,0.0,0.01751569782878082,0.0008001753953949603,0.004942889897723659,0.006878859844401263,0.036776234965949194,0.021849087290828684,0.09316196764804999,0.6252552999696723,0.0008001816837904099,0.004942929103935123,0.001407845968498674,0.021067209430756625,0.016780467643142245,0.10470873829183137,0.7104965202713538
63.0,0.0,0.0,0.016807209303703996,0.0007516952189768227,0.004642349231352199,0.006562942959031119,0.035423309613557614,0.02081894558604688,0.09305011916386102,0.6247166718515109,0.0007517011263767923,0.004642386118458969,0.0013246473905942848,0.01997953361136089,0.01504095256848328,0.10458542501954252,0.7099487741584839
63.125,0.0,0.0,0.016133689588900102,0.0007061523079637142,0.00436014261511191,0.006263616017820886,0.03411088795262195,0.019841092116161963,0.09293838390508272,0.624178090756268,0.0007061578574499615,0.004360177343135821,0.0012463900538600425,0.018945673454410807,0.013551888507179756,0.1044622318637518,0.709401062416338
63.25,0.0,0.0,0.01549359183063298,0.000663368702438721,0.004095144700157884,0.005980060422023681,0.032838727214168126,0.018912700866625855,0.09282676180129909,0.6236395585823244,0.0006633739156968707,0.004095177256286466,0.001172777636060995,0.01796317165731817,0.012273657371942122,0.1043391587585057,0.7088533883069618
63.375,0.0,0.0,0.01488541022995582,0.0006231772245324026,0.003846299756861465,0.005711498311218476,0.031606489614033804,0.01803110020796502,0.09271525278180351,0.6231010770337744,0.0006231821219353646,0.0038463302548779406,0.0011035319148492214,0.017029664312479254,0.011171929841515223,0.1042162056372911,0.7083057544628659
63.5,0.0,0.0,0.01430768442701813,0.0005854208251742375,0.0036126175277207766,0.005457182586770324,0.030413754532135955,0.01719376671099227,0.09260385677564016,0.6225626476415644,0.0005854254258579022,0.0036126462157972565,0.0010383916245933751,0.01614287918166239,0.010217432891979662,0.10409337243316016,0.7077581630123503
